TIME ,VO2   ,VO2/kg  ,WorkR ,VCO2  ,VE     ,RER  ,HR  ,Vt    ,RR  ,TE    ,TI    ,VE/   ,VE/   ,FECO2 ,FEO2  
0.171000004,0.410327613,4.629337311,0,0.538134694,23.1267395,1.311475754,72,0.790934503,29.23976517,1.231999993,2.039680004,56.36164474,42.97574615,2.886912346,18.62742615
0.337500006,0.859860182,9.700986862,0,0.780525148,28.70552254,0.907734931,77,0.955893934,30.0300293,0.968000054,1.988319993,33.38394165,36.77719116,3.36719203,17.34558105
0.514666677,0.866496623,9.775859833,0,0.805937946,28.52002716,0.930110872,79,1.010559559,28.22201538,0.938000023,2.116620064,32.91418076,35.38737488,3.497828722,17.27686501
0.730666697,0.905756176,10.21878815,0,0.958829999,34.07192993,1.058596134,80,2.453178883,13.88888931,2.220000029,4.297800064,37.61711121,35.53490067,3.483293533,17.64731789
0.893333316,0.256404251,2.892765999,0,0.314238191,11.00365734,1.225557685,79,0.894964099,12.29508209,1.690000057,4.863100052,42.91526794,35.01693344,3.53404665,17.9541378
1.034833312,0.512825072,5.785718918,0,0.656432569,21.07294464,1.280032158,68,0.993940532,21.20141411,1.199999928,2.818000078,41.09187698,32.10222244,3.851234198,17.78767776
1.196166873,0.708756447,7.996226788,26.24999809,0.830680788,27.20073891,1.172025681,85,0.877677262,30.99173164,0.870000005,1.927300096,38.37811661,32.74511719,3.776515007,17.63688278
1.364166975,0.67910409,7.661687374,30,0.753966987,26.25784492,1.110237718,105,0.882263541,29.76190567,1.095999956,2.00503993,38.66542053,34.82625198,3.553296089,17.70236969
1.525333643,0.864006639,9.747767448,30,0.838410914,29.51436424,0.970375538,109,0.951346338,31.02378464,0.905999959,1.924939871,34.15988159,35.20274353,3.515902281,17.38024712
1.674500227,0.911935866,10.28850746,29.99999809,0.801548004,25.79911423,0.878952146,105.5,0.962092102,26.8156395,1.202499986,2.225475073,28.2904911,32.18661118,3.841783762,16.72451019
1.861833572,1.146975756,12.94023991,30,0.968237758,31.05396271,0.844165862,98.5,1.454360485,21.352314,1.382499933,2.796175003,27.074646,32.07266235,3.855362654,16.56812286
2.00600028,1.251201749,14.1161232,30.25549316,1.066599488,32.12216187,0.852460027,97,1.157736301,27.7456646,1.144999981,2.151050091,25.67304802,30.11642265,4.10317421,16.32116699
2.179500341,1.257960081,14.19237041,51.81364059,1.077831268,32.1764183,0.856808782,94,1.116521716,28.8184433,1.052000046,2.071480036,25.57825089,29.85292625,4.139027596,16.29969406
2.339666843,1.261951447,14.23740196,56.79395676,1.150492907,35.0008812,0.911677659,103,1.121194959,31.21747971,1.054000139,1.911459923,27.73552132,30.42251015,4.062171459,16.60992813
2.519666672,1.358351946,15.32499695,61.8379631,1.288302898,38.61663055,0.948430836,107,1.390198708,27.77777672,1.103999972,2.148959875,28.42903137,29.97480774,4.122176647,16.68243408
2.677333355,1.272448897,14.35583401,66.9344635,1.277456522,38.59156799,1.003935456,109,1.216920853,31.71247292,1.036000013,1.881639838,30.32857895,30.209692,4.090342999,16.9022007
2.837500095,1.214861631,13.70613194,71.60561371,1.199801803,36.18678284,0.987603664,109,1.159183264,31.21748161,1.047999978,1.911520004,29.7867527,30.16063309,4.096957684,16.84280396
3.022500277,1.315593123,14.84258938,77.01800537,1.298483253,39.09250641,0.986994565,109,1.205352306,32.43243027,1.00333333,1.839966655,29.71473885,30.1062851,4.104282379,16.83339882
3.169000149,1.471956372,16.60668755,81.73379517,1.451897144,42.9454422,0.986372411,111.5,1.572876692,27.30375671,1.137500048,2.186124802,29.17575836,29.57884598,4.176756382,16.75808144
3.349166632,1.39253056,15.71060181,86.79555511,1.443426013,43.00538635,1.036548853,116,1.549627542,27.75207901,1.198000073,2.150020123,30.88290215,29.79396629,4.146807194,16.94762039
3.50399971,1.601464629,18.06780624,91.65769196,1.646768928,47.77445221,1.028289318,118,1.479415417,32.29278946,0.94599998,1.848539948,29.83172417,29.01102448,4.257653713,16.81403542
3.676332951,1.323866844,14.93593407,96.25822449,1.368062258,40.93914032,1.033383608,120,1.175863028,34.81624985,0.976666629,1.713566661,30.92391014,29.92490959,4.1288414,16.95553589
3.883666277,1.364113808,15.39000225,101.8738022,1.317080498,38.87648773,0.965520978,118,1.612078309,24.11575699,1.445999861,2.473540068,28.49944687,29.51716995,4.185436726,16.67758751
4.026666164,1.451743484,16.37864494,107.3379898,1.374596596,38.02450562,0.946859121,113,1.359376073,27.97202682,1.107500076,2.133924961,26.1923027,27.66230202,4.463440418,16.3203907
4.19699955,1.702271819,19.20511818,111.8747482,1.593464613,44.4713974,0.936081171,111,1.514992356,29.35420609,1.055999994,2.033440113,26.12473297,27.90861893,4.42442131,16.31901169
4.33566618,1.596769452,18.01483536,116.4687576,1.526984215,44.36271667,0.956295967,113,1.230325937,36.05769348,0.876000047,1.655240059,27.78279305,29.05250549,4.251754761,16.57614899
4.544166565,1.39599669,15.74970722,121.6027069,1.318148732,38.55595779,0.944234848,115,1.607783437,23.98081589,1.315999985,2.488839865,27.61894608,29.25008202,4.22332859,16.56144905
4.683833122,1.950538993,22.00608253,126.9618225,1.787425041,48.60871887,0.916374922,116,1.6972543,28.63961983,1.087500095,2.084125042,24.92066002,27.19482994,4.539541721,16.11600304
4.845666885,1.813578486,20.460886,131.3161774,1.694832206,47.39234543,0.934523761,120,1.533932209,30.89598465,1.028000116,1.931720018,26.13195229,27.96285439,4.415920734,16.32181168
5.004000187,2.023442507,22.82858276,136.3820801,1.918289781,53.40959167,0.948032737,122,1.691303849,31.57894516,0.960000038,1.890399933,26.39540863,27.8422966,4.434841633,16.35479736
5.166666985,1.883877635,21.25400543,141.1290894,1.858235598,53.35699844,0.986388683,122.5,1.446567655,36.88524246,0.88166672,1.617849946,28.32296371,28.71379662,4.301383018,16.63215256
5.352500439,1.922907591,21.69434357,146.2762451,1.897298574,55.2790184,0.986682117,125,1.712113857,32.28699875,0.965000093,1.848683238,28.74762154,29.13564491,4.239682674,16.69552803
5.502500534,1.911754131,21.56850815,151.4333344,1.894561172,53.39867783,0.991006732,127,2.002450466,26.66666603,1.200000048,2.237999916,27.93177032,28.18524933,4.381286621,16.56757927
5.677333355,2.125490427,23.97989273,156.0476685,2.103580475,57.22590256,0.989691794,130,2.000998974,28.59866714,1.139999986,2.086600065,26.92362213,27.20404816,4.537871838,16.40510941
5.838832855,2.071173191,23.3670826,161.1589355,2.062115669,56.82487488,0.995626867,132,1.835443497,30.95975113,1.022000074,1.927779913,27.43608093,27.55658913,4.480318069,16.484272
6.01599884,2.271762609,25.63014412,166.3988647,2.311220646,63.62916565,1.017368913,133,1.87882781,33.86641693,0.915000021,1.762516618,28.0087204,27.53054619,4.484480381,16.55547905
6.19416523,1.927705169,21.74847031,171.9129944,2.014159918,56.15087891,1.044848561,137,2.000843287,28.06360817,1.137999892,2.126620054,29.12835503,27.8780632,4.429031372,16.69984055
6.352831841,2.30532527,26.0087986,176.625,2.334580421,61.00188446,1.012690306,138,1.935793161,31.51260376,0.980000019,1.894199967,26.46129227,26.12969971,4.722763062,16.30360794
6.516831398,2.456376791,27.71297073,181.6453247,2.518595219,69.53497314,1.025329351,139,1.900622606,36.5853653,0.886666715,1.631133437,28.30794334,27.60863304,4.471896172,16.59461975
6.677664757,2.067041159,23.32046509,186.5098419,2.169634104,61.73737717,1.049632788,138,1.654904604,37.30570221,0.88833338,1.599450111,29.86751175,28.4552021,4.340003967,16.80066872
6.842164516,2.133571386,24.07106209,191.1945496,2.128324747,57.51679993,0.997540891,141,1.892302632,30.39513779,1.06400001,1.963360071,26.95799255,27.02444649,4.5677495,16.40342903
7.021164417,2.358140707,26.60466576,196.7029572,2.333224297,60.88719177,0.989433885,140,2.17976141,27.93296051,1.154000044,2.136460066,25.81999969,26.09572983,4.728901863,16.21153069
7.167498112,2.52918148,28.53435707,201.4077301,2.483161449,62.87290192,0.981804371,142,2.300100327,27.33485222,1.127500057,2.183725119,24.85899162,25.31970024,4.872628689,16.03660202
7.343831062,3.03619504,34.25450897,206.2684326,3.069853783,82.68019867,1.011085868,143,2.082753658,39.69754028,0.807142854,1.503357053,27.23151779,26.93294334,4.583107948,16.43625069
7.509498119,2.604115248,29.37976265,211.468811,2.848944187,80.31143951,1.094016194,145,2.21748805,36.21730423,0.88499999,1.647816777,30.84020233,28.18989563,4.38040638,16.89435196
7.672997952,2.558071613,28.86029625,216.4250488,2.791036844,78.07497406,1.091070652,147,2.127543211,36.69724655,0.905000031,1.625949979,30.52102661,27.97346687,4.413991928,16.85451508
7.857498169,2.573884249,29.03869438,221.5302582,2.735008955,73.26223755,1.062599778,150,2.252813816,32.52032471,0.998333275,1.835016608,28.4636879,26.78683662,4.607800007,16.5848465
8.001665115,2.948278904,33.26263428,226.5745544,3.074975252,80.94803619,1.042973042,151,2.334001541,34.68208313,0.938000023,1.720620155,27.45602989,26.3247757,4.688008308,16.44332504
8.18866539,2.670930624,30.13357735,231.5944672,2.835587978,77.14186096,1.061647892,152,2.060789824,37.43315506,0.927142918,1.59358573,28.88201523,27.2048912,4.537608624,16.64877129
8.344163895,2.951067686,33.2940979,236.4748383,3.087422848,84.1836319,1.046205401,153,2.181759119,38.58520889,0.848333299,1.546516538,28.5265007,27.26663589,4.527449131,16.60915947
8.518663406,3.159132481,35.64149475,241.6093903,3.389754057,92.97823334,1.073001504,153,2.31781435,40.11461639,0.822857201,1.487485886,29.43157196,27.42919731,4.5008111,16.71901512
8.683663368,2.779155016,31.35457039,246.7182007,3.063713312,87.18895721,1.10239017,154.5,2.397696018,36.36363983,0.913333356,1.640866756,31.37247086,28.45858955,4.33941412,16.95615005
8.85416317,2.760663509,31.14594841,251.7233734,2.91620636,79.5274353,1.056342602,157,2.259904623,35.19061661,0.980000019,1.695199966,28.80736351,27.27085304,4.526738644,16.64237022
9.018162727,3.356663942,37.87005615,256.7306824,3.511099339,95.22966766,1.046008587,159,2.231094837,42.68292999,0.779999912,1.39791429,28.37033081,27.12246513,4.55130291,16.58550072
9.190829277,3.018781662,34.05805206,261.8609924,3.279727697,93.50296783,1.086440802,161,2.306406736,40.54053879,0.832857132,1.471671343,30.97374344,28.5093689,4.331778526,16.91805649
9.344496727,3.272209883,36.91724014,266.6518555,3.475975037,95.09403229,1.062271476,162,2.435463667,39.04555511,0.866666615,1.527999997,29.06110382,27.35751343,4.512516499,16.67466545
9.502664566,3.508034706,39.57782745,271.4784241,3.801980019,108.0988998,1.083791971,163,2.44252038,44.25711441,0.801428616,1.347700119,30.81466103,28.43226433,4.343421459,16.89949608
