ID,PosNumeric,Position,WingatePeak_Watts,PeakWingate_W_kg,WingateMean_Watts,WingateMean_Watts_kg,WingateRPM,WingateHR_End,WingateHR_1minPost,WingatePercentDrop,VO2max_l_min,VO2max_ml_kg_min,VO2max_PeakHR,VO2max_Duration,VO2max_watts,DaysSinceLastGame,DaysSinceLastWorkout,Age,Height_in,WingSpan_in,Weight_lb, Skinfold_sum_6_mm,Yuhasz%BodyFat,HandEyeCoordination,StandingLongJump_in,VertekVerticalJump_Pause_in,LewisAvg_ Pause_watts,SayersPeak_Pause_watts,VertekVerticalJump_NoPause_in,LewisAvg_ NoPause_watts,SayersPeak_NoPause_watts,Jump4ModeGroundTime_sec,Jump4ModeGroundPowerFactor,Jump4ModeGroundHeight_in,Curlups_max,SitReach,RightHandGrip_lb,LeftHandGrip_lb,BenchPress_reps150,BenchPress_lbperlbBodyWeight,PushUps_max,PushUpsxBody Weight,Push Strength (lb),PushStrength_lbperlbBodyWeight,PullStrength_lb,PullStrength_lbperlbBodyWeight,UpperBodyPowerkgBall_in
1,1,Forward,1136,11.97,939,9.9,115,185,180,54.5,4.75,50,186,12:06,520,28,7,18,74,77.25,209.2,64,9.85,32.4,95.5,18,1390,5027,19,1426,5185,0.82,0.74,17.9,12,47.5,138,130,12,8.6,24,5020.8,277,1.32,279,1.33,219
2,1,Forward,1017,12.74,72,0.9,112,185,174,52.5,3.99,49.9,189,8:00,400,60,2,18,70.5,72,176,50.6,8.55,28.6,97,23.25,1330,5156,23.75,1336,5229,0.72,0.78,15.6,18,46,113,121,10,8.52,21,3696,247,1.4,217,1.23,201
3,1,Forward,1171,13.42,971,11.13,132,192,175,36.7,4.94,56.5,193,11:00,520,30,1,18,74.75,75.5,192.3,56.6,9.13,32.6,105.5,20.75,1372,5103,22.75,1438,5413,0.62,1.07,21.6,30,53.2,105,105,5,3.9,18,3461.4,205,1.07,219,1.14,202
4,1,Forward,933,11.39,764,9.33,110,191,176,39.5,5.64,68.7,191,11:00,520,17,4,18,70.25,73.75,180.6,66.4,10.08,35.6,98,23,1357,5209,24,1385,5367,0.47,1.38,20.3,22,38.9,122,119,5,4.15,26,4695.6,239,1.32,234,1.3,196
5,1,Forward,1210,13.04,921,9.92,118,192,178,54.4,5.19,55.8,192,11:00,520,50,4,18,73.75,76,204.6,46.4,8.14,47.5,111,26.5,1650,6243,27,1665,6322,0.6,1.11,21.4,23,43.1,147,140,10,7.33,34,6956.4,294,1.44,323,1.58,230
6,1,Forward,1047,13.88,782,10.37,121,179,172,57.4,4.39,58,189,7:00,480,42,1,17,71.75,73,166.3,45,8.01,32.8,106.5,21,1193,4604,23.5,1263,4994,0.29,2.24,20,36,22.9,109,99,7,6.31,28,4656.4,188,1.13,225,1.35,197
7,1,Forward,1191,13.97,899,10.54,123,192,181,49.3,5.45,63.8,196,8:00,520,42,1,18,74.25,74,188,47.8,8.28,29.6,102.5,23.5,1428,5442,25,1471,5673,0.71,0.85,17.5,35,28.3,141,134,6,4.79,25,4700,255,1.36,280,1.49,187
8,1,Forward,1234,14.6,898,10.63,124,197,180,54.1,4.96,58.6,197,8:10,400,60,4,18,68.75,72,186.3,53.4,8.82,27.8,105,24.5,1443,5558,26,1489,5788,0.44,1.54,22,41,45.1,139,119,9,7.25,24,4471.2,275,1.48,276,1.48,197
9,1,Forward,975,12.69,839,10.92,128,190,165,33.7,4.44,57.6,185,7:00,480,42,1,17,70,73.25,169.4,50.7,8.56,28.7,94.5,18.75,1148,4322,19.75,1177,4480,0.74,0.82,17.6,38,36.6,109,118,4,3.54,28,4743.2,191,1.13,210,1.24,199
10,1,Forward,1099,12.32,858,9.62,115,186,164,46.8,4.64,52,186,10:00,480,42,4,18,75.25,76.5,196.7,68.6,10.29,33.2,97,23.8,1501,5667,24.8,1535,5819,1.04,0.6,19.1,38,31.7,124,119,3,2.29,14,2753.8,176,0.89,201,1.02,183
