ID,Weight(kg),Sex,Height(inches),Weight(lbs),Height(cm)
4,,F,,,
5,77.34,F,,170.5,172.00
10,63.96,F,,141,164.50
11,58.97,F,,130,161.00
14,62.14,F,,137,170.00
15,71.21,F,,157,171.00
16,49.44,F,,109,167.00
18,,F,,,
20,68.04,F,68,150,172.72
1,80.74,M,70.5,178,179.07
2,76.88,M,67.5,169.5,171.45
3,77.79,M,72.5,171.5,184.15
6,94.35,M,70,208,177.80
7,117.03,M,72,258,182.88
8,78.02,M,71,172,180.34
9,91.63,M,74,202,187.96
12,78.93,M,,174,174.00
13,73.03,M,,161,170.00
17,76.66,M,,169,173.50
19,81.65,M,,180,173.00
21,86.18,M,,190,187.50
All,,,,,
Mean,77.05,,,169.87,174.73
Median,77.34,,,170.50,173.00
St Dev,#NAME?,,,#NAME?,#NAME?
Females,,,,,
Mean,64.44,,,142.07,168.32
Median,63.96,,,141.00,170.00
St Dev,#NAME?,,,#NAME?,#NAME?
Males,,,,,
Mean,84.41,,,186.08,178.47
Median,79.83,,,176.00,178.44
St Dev,#NAME?,,,#NAME?,#NAME?
