ID,body mass(Kg),Push Up Power (reps),Vertec Counter Stretch (inches),Vertec Static Squat (inches),LewisPower(W),SayerEquation(W),Gender
1,80.74,23,26,21.5,#ERROR!,5611.15,M
2,76.88,31,24,23.5,1328.72129,5127.936,M
3,77.79,,,,0,0,M
4,,,,,0,0,
5,77.34,15,16,17,1091.387706,3915.35,F
6,94.35,,,,0,0,M
7,117.03,21,25,23,2064.344182,7100.909,M
8,78.02,25,21,20,1261.33513,4717.044,M
9,91.63,,,,0,0,M
10,63.96,18,16,18,902.5750929,3309.236,F
11,58.97,21,20,19.5,930.3814095,3699.901,F
12,78.93,,,,0,0,M
13,73.03,32,30,28,1411.161848,5878.599,M
14,62.14,25,16,16,876.8920618,3226.79,F
15,71.21,24,17,15.5,1035.810585,3791.839,F
16,49.44,24,14,15.5,652.6154909,2343.124,F
17,76.66,19,34,34,1576.969057,6659.75,M
18,58.05,24,15.5,17,806.274587,2964.424,F
19,81.65,28,,,0,0,M
20,68.04,15,22,20,1125.875954,4419.128,F
21,86.18,17,14,12,1137.589058,4007.446,M
